Kangar,6.4414,100.198619
Shah Alam,3.083333,101.533333
Alor Setar,6.121045,100.360137
Kota Bharu,6.133275,102.238603
Ipoh,4.5841,101.0829
Bangi,2.9451,101.7735
Kuala Lumpur,3.166667,101.7
Kuala Terengganu,5.3302,103.1408
Kuantan,3.8077,103.326
Johor Baharu,1.4655,103.7578
Segamat,2.5148,102.8158
Seremban,2.7297,101.9381
Melaka,2.196,102.2405
Pagoh,2.1495,102.7704
Gua Musang,4.8823,101.9644
Kota Tinggi,1.7381,103.8999
Dungun,4.775,103.4162
Kuala Lipis,2.7389,102.2487
Klang,3.033333,101.45
Rawang,3.3213,101.5767
Grik,5.416667,101.133333
Cameron Highland,4.483333,101.45
Yong Peng,2.0136,103.0659
Petaling Jaya,3.083333,101.65
Rembau,2.5897,102.0913
Rompin,2.7083,102.5047
Butterworth,5.399102,100.363818
Kuala Selangor,3.35,101.25
Pontian,1.4866,103.3896
Marang,5.2056,103.2059
